Tech,Percentage,Date,Title
django,0.10733006871041004,12-04-2019,Data Analyst
docker,0.6391888913378885,12-04-2019,Data Analyst
drupal,0.06228977201943441,12-04-2019,Data Analyst
dynamodb,0.1293710649634407,12-04-2019,Data Analyst
elixir,0.018207779513373136,12-04-2019,Data Analyst
excel,2.2088911462276357,12-05-2019,Data Analyst
firebase,0.023957604622859386,12-05-2019,Data Analyst
flask,0.05366503435520503,12-05-2019,Data Analyst
gcp,0.4791520924571878,12-05-2019,Data Analyst
git,1.4096654560090465,12-05-2019,Data Analyst
html,2.7397916646702005,12-05-2019,Data Analyst
hadoop,2.1830169332349474,12-06-2019,Data Analyst
hbase,0.4187789288075821,12-06-2019,Data Analyst
hive,1.4173318894883613,12-06-2019,Data Analyst
ibm,0.3459478107540896,12-06-2019,Data Analyst
illustrator,0.06516468457417753,12-06-2019,Data Analyst
indesign,0.033540646472003145,12-06-2019,Data Analyst
intellij,0.01629117114354438,12-06-2019,Data Analyst
java,4.024877576640377,12-07-2019,Data Analyst
javascript,3.316690783988654,12-07-2019,Data Analyst
jupyter,0.3756552404864352,12-07-2019,Data Analyst
keras,0.18495270768847447,12-07-2019,Data Analyst
kubernetes,0.4781937882722733,12-07-2019,Data Analyst
laravel,0.2616170424816245,12-07-2019,Data Analyst
linux,1.9213998907533232,12-08-2019,Data Analyst
macos,0.020124387883201887,12-08-2019,Data Analyst
mariadb,0.12457954403886885,12-08-2019,Data Analyst
matlab,0.4456114459851847,12-08-2019,Data Analyst
microsoft,3.559141742771992,12-08-2019,Data Analyst
mongodb,0.484901917566674,12-08-2019,Data Analyst
mysql,1.3377926421404682,12-08-2019,Data Analyst
net,1.870609768952861,12-09-2019,Data Analyst
nlp,0.7541853935276135,12-09-2019,Data Analyst
netbeans,0.012457954403886884,12-09-2019,Data Analyst
netsuite,0.02108269206811626,12-09-2019,Data Analyst
nosql,1.3138350375176089,12-09-2019,Data Analyst
node,0.4829853091968453,12-09-2019,Data Analyst
numpy,0.21657674579064887,12-10-2019,Data Analyst
oracle,2.0450211306072767,12-10-2019,Data Analyst
php,1.2975438663740644,12-10-2019,Data Analyst
pmp,0.057498251094862535,12-10-2019,Data Analyst
pandas,0.40057114929420895,12-10-2019,Data Analyst
perl,0.4111124953282672,12-10-2019,Data Analyst
photoshop,0.1609951030656151,12-10-2019,Data Analyst
pi,0.07953924734789318,12-11-2019,Data Analyst
pig,0.4111124953282672,12-11-2019,Data Analyst
postgresql,0.5165259556688484,12-11-2019,Data Analyst
powerpoint,0.392904715814894,12-11-2019,Data Analyst
powershell,0.32390681450105896,12-11-2019,Data Analyst
puppet,0.1015802436009238,12-11-2019,Data Analyst
pycharm,0.009583041849143756,12-12-2019,Data Analyst
pytorch,0.2204099625303064,12-12-2019,Data Analyst
python,8.780941246370423,12-12-2019,Data Analyst
r,4.269245143793543,12-12-2019,Data Analyst
rails,0.2625753466665389,12-12-2019,Data Analyst
raspberry,0.013416258588801256,12-12-2019,Data Analyst
react,1.084800337323073,12-12-2019,Data Analyst
ruby,0.6688963210702341,12-13-2019,Data Analyst
sap,0.5270673017029066,12-13-2019,Data Analyst
sas,1.1911721018485688,12-13-2019,Data Analyst
spss,0.27982482199499764,12-13-2019,Data Analyst
sql,12.066966296441814,12-13-2019,Data Analyst
sqlite,0.01724947532845876,12-13-2019,Data Analyst
salesforce,0.5079012180046191,12-14-2019,Data Analyst
scala,1.3713332886124714,12-14-2019,Data Analyst
scrum,0.919013713332886,12-14-2019,Data Analyst
shell,0.8979310212647699,12-14-2019,Data Analyst
spark,2.9314525016530752,12-14-2019,Data Analyst
spring,0.6411054997077172,12-14-2019,Data Analyst
swift,0.07570603060823566,12-14-2019,Data Analyst
tableau,2.3986353748406817,12-15-2019,Data Analyst
tensorflow,0.5270673017029066,12-15-2019,Data Analyst
torch,0.035457254841831896,12-15-2019,Data Analyst
unity,0.05079012180046191,12-15-2019,Data Analyst
vue,0.3229485103161445,12-15-2019,Data Analyst
watson,0.011499650218972509,12-15-2019,Data Analyst
webassembly,0.006708129294400628,12-16-2019,Data Analyst
windows,1.1557148470067369,12-16-2019,Data Analyst
wordpress,0.39961284510929457,12-16-2019,Data Analyst
